,brand,category_code,product_code,price,event_type,shopping_time,coupon
20882060,casio,electronics,clocks,30.37,view,8,No
8099733,apple,electronics,smartphone,360.34,view,9,Yes
40910941,pioneer,auto,player,127.42,view,16,Yes
10267443,apple,electronics,smartphone,1005.35,view,3,Yes
20792511,zeta,furniture,chair,5.89,view,7,Yes
40260161,jbl,electronics,subwoofer,51.97,view,6,Yes
35592082,samsung,appliances,dishwasher,411.83,view,13,Yes
39273675,rieker,apparel,shoes,85.46,view,10,Yes
17834756,samsung,electronics,smartphone,285.4,view,7,Yes
5045979,asus,computers,notebook,514.79,view,2,Yes
35811516,huawei,electronics,smartphone,926.41,view,16,Yes
38006264,brw,furniture,bed,207.47,view,10,No
15220272,braun,appliances,hair_cutter,51.46,view,13,Yes
39386013,apple,electronics,smartphone,1683.07,view,12,No
11143109,xiaomi,electronics,smartphone,133.52,view,15,No
14844116,huawei,electronics,clocks,154.41,view,8,Yes
35239921,eurolux,construction,generator,203.35,view,8,Yes
34314136,ritmix,computers,ebooks,93.39,view,15,No
20666117,pulser,computers,desktop,646.07,view,5,Yes
6480911,acer,computers,desktop,694.97,view,5,Yes
24300186,oppo,electronics,smartphone,154.19,view,14,Yes
17703382,lg,electronics,tv,389.94,view,5,No
29351296,apple,electronics,smartphone,1055.3,view,4,No
21538571,samsung,electronics,smartphone,250.69,view,15,Yes
33497688,samsung,electronics,smartphone,131.53,view,4,Yes
29278215,samsung,electronics,smartphone,170.87,view,2,No
41295527,samsung,appliances,washer,656.36,view,4,Yes
24879694,apple,electronics,smartphone,1541.4,view,1,No
10995925,kenwood,auto,player,51.48,view,13,No
6896513,bq,electronics,tablet,52.74,view,10,No
613989,greyder,apparel,keds,100.39,view,12,Yes
8258927,huawei,electronics,smartphone,255.85,view,12,Yes
17758855,huawei,electronics,smartphone,110.17,view,6,No
23784237,pioneer,auto,player,66.93,view,8,No
15241962,lg,electronics,tv,1235.5,view,13,Yes
17695500,apple,electronics,smartphone,1003.85,view,5,Yes
4893580,doogee,electronics,smartphone,128.68,view,19,No
23627093,xiaomi,electronics,smartphone,193.0,view,6,Yes
20124703,huawei,electronics,smartphone,540.37,view,16,Yes
28375300,xiaomi,electronics,smartphone,190.22,view,10,Yes
19159039,samsung,electronics,smartphone,1214.05,view,5,No
33012623,nokia,electronics,telephone,76.35,view,16,No
11078142,casio,electronics,clocks,32.69,view,14,Yes
18203460,lg,appliances,washer,380.96,view,12,No
20640402,prestigio,electronics,telephone,8.67,view,5,Yes
37824089,asrock,computers,motherboard,107.34,view,7,Yes
14991174,xiaomi,electronics,smartphone,87.99,view,10,Yes
34070597,hansa,appliances,oven,411.02,view,12,Yes
28179689,gigabyte,computers,desktop,127.78,view,7,No
19661115,redmond,appliances,juicer,72.05,view,11,No
25003741,apple,electronics,smartphone,812.09,view,4,Yes
23290261,bumbleride,kids,carriage,460.76,view,19,No
16409769,armani,electronics,clocks,230.12,view,9,Yes
28498141,samsung,electronics,smartphone,615.18,view,11,No
36791952,philips,appliances,blender,61.75,view,11,Yes
36258132,pioneer,auto,player,203.92,view,4,Yes
19604551,samsung,appliances,washer,784.83,view,11,No
11214108,rals,furniture,sofa,307.45,view,15,Yes
34411785,acer,computers,notebook,2312.13,view,16,No
25719241,respect,apparel,shoes,89.84,view,13,Yes
24970739,longway,kids,skates,101.68,view,3,No
5198276,xiaomi,electronics,smartphone,125.36,view,5,No
12022280,gerdamix,construction,faucet,77.48,view,9,No
21589059,beko,appliances,refrigerators,240.7,view,15,No
31173688,almacom,appliances,air_heater,30.89,view,9,Yes
38727005,apple,electronics,headphone,189.63,view,20,Yes
11282768,apple,electronics,smartphone,740.93,view,16,Yes
19805775,samsung,electronics,smartphone,287.73,view,13,Yes
